Unique,ID,Author,Year,Study Type,Region,Habitat,Predator Type,Prey Type,Basal Resource Type,System,Response Type,Response Variable,Response Metric,Control Mean,Control Sample,Control CI.95,Control CI.85,Control t Distribution Value,Control StdErr,Control StdDev,Treatment Mean,Treatment Sample Size,Treatment CI.95,Treatment CI.85,Treatment t Distribution Value,Treatment StdErr,Treatment StdDev,Effect Size,Relative Difference,Notes
41,12,Moody and Aronson,2012,Mesocosm Experiment,United States,Salt marsh,Crab,Snail,Snail,Crab_Snail,RITR,Proportional Change in Lip Thickness,,0.582,6,,,,0.0385,0.094305355,0.898,6,,,,0.032,0.078383672,0.433699621,0.542955326,"Figure 9, 42 days"
42,13,Belgrad and Smith,2014,Mesocosm Experiment,United States,Salt marsh and Mangrove,Crab,Snail,Snail,Crab_Snail,RITR,Climbing Height,cm,5.488,5,,,,0.4545,1.016292896,8.721,5,,,,0.4885,1.092319207,0.46317002,0.589103499,
43,14,Hayman et al ,2020,Mesocosm Experiment,United States,Salt marsh,Fish,Worm,Worm,Fish_Worm,RITR,Feeding time proportion,,0.6741,4,,,,0.06025,0.1205,0.732,4,,,,0.0893,0.1786,0.082402046,0.085892301,"Data taken from Fig. 2A, 6 cm/s flow speed"
44,14,Hayman et al ,2020,Mesocosm Experiment,United States,Salt marsh,Fish,Worm,Worm,Fish_Worm,RITR,Feeding time proportion,,0.5644,4,,,,0.08445,0.1689,0.7066,4,,,,0.06445,0.1289,0.224701515,0.251948972,"Data taken from Fig. 2A, 15 cm/s flow speed"
45,14,Hayman et al ,2020,Mesocosm Experiment,United States,Salt marsh,Fish,Worm,Worm,Fish_Worm,RITR,Suspension feeding time proportion,,0.7225,4,,,,0.10575,0.2115,0.6652,4,,,,0.152,0.304,-0.082629673,-0.079307958,"Data taken from Fig. 2B, 6 cm/s flow speed"
46,14,Hayman et al ,2020,Mesocosm Experiment,United States,Salt marsh,Fish,Worm,Worm,Fish_Worm,RITR,Suspension feeding time proportion,,0.8414,4,,,,0.1013,0.2026,0.9207,4,,,,0.0727,0.1454,0.090067079,0.094247682,"Data taken from Fig. 2B, 15 cm/s flow speed"
47,15,Robinson and Rabalais,2019,Mesocosm Experiment,United States,Salt marsh,Crab,Snail,Snail,Crab_Snail,RITR,Climbing Height,cm,43.0514,4,,,,0.9063,1.8126,45.166,4,,,,0.907,1.814,0.047949841,0.049118031,Used data from Fig. 2 predator absent/no oil and predator present/no oil treatment
48,16,Wu and He,2023,Field Experiment,United States,Salt marsh,Crab,Multiple,Cordgrass,Crab_Multiple_Cordgrass,TMIE,Claw print on vegetation,Individuals per plot,2016.91,8,,,,217.4,614.9000569,1207.73,8,,,,193.23,546.5369733,-0.512824073,-0.401197872,Data taken from Fig. 5A
49,16,Wu and He,2023,Field Experiment,United States,Salt marsh,Crab,Multiple,Cordgrass,Crab_Multiple_Cordgrass,TMIE,Grazing Intensity,Percent,14.196,8,,,,5.759,16.28891181,3.75,8,,,,1.87,5.289158723,-1.331204395,-0.735841082,Data taken from Fig. 5A
50,16,Wu and He,2023,Mesocosm Experiment,United States,Salt marsh,Crab,Multiple,Cordgrass,Crab_Multiple_Cordgrass,TMIE,Grazing Intensity,Percent,19.33,8,,,,3.33,9.418662325,3.066,8,,,,1.994,5.639883687,-1.841284513,-0.841386446,"Data taken from Fig. 5B, used tethered predator only"
51,17,Carroll et al.,2018,Mesocosm Experiment,United States,Salt marsh,Crab,Snail,Cordgrass,Crab_Snail_Cordgrass,RITR,Climbing Height,cm,21.8,6,,,,1.3,3.184336666,36.7,6,,,,1.8,4.409081537,0.520866785,0.683486239,"Data extracted from text using water cue only. Number of replicates unclear, used 6 from the text noting ""We used six box-in-box set-ups per trial for the experiments."""
52,18,Shanji and Nayar,2016,Mesocosm Experiment,India,Mangrove,Fish,Crab,Crab,Fish_Crab,RITR,Percentage Climbing,Percent,100,10,,,,0,0,100,10,,,,0,0,0,0,Data extracted from Fig. 6
53,19,Stump et al. ,2017,Mesocosm Experiment,Bahamas,Mangrove,Shark,Shark,Shark,Shark_Shark,RITR,Fright Response,Count,0.258,24,,,,0.172,0.842624472,7.92,24,,,,1.89,9.259071228,3.4241869,29.69767442,Data extracted from Fig. 5. using solitary and predator treatments only.
54,20,Wollerman et al.,2003,Mesocosm Experiment,United States,Salt marsh,Crab,Snail,Snail,Crab_Snail,RITR,Average number of step lengths,"Count, where step length = 2cm",12.71,21,,,,2.76,12.64790892,11.24,18,,,,1.83,7.764032457,-0.122910241,-0.115656963,"Data extracted from Fig. 3b, Spartina and Blue Crab extracts only (not controls)"
55,21,Magel et al.,2017,Mesocosm Experiment,Bahamas,Mangrove,Fish,Fish,Fish,Fish_Fish,RITR,Glucose level,mmol/L,2.2,12,,,,0.1,0.346410162,1.9,11,,,,0.1,0.331662479,-0.146603474,-0.136363636,"Data extracted from Table 2, using baseline predator presence/absence data only"
56,21,Magel et al.,2017,Mesocosm Experiment,Bahamas,Mangrove,Fish,Fish,Fish,Fish_Fish,RITR,Cortisol level,ng/mL,8.69,12,,,,3.29,11.39689431,12.66,10,,,,5.68,17.96173711,0.376274477,0.456846951,"Data extracted from Table 2, using baseline predator presence/absence data only"
